<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.19	16:00:00	1249.97	1255.67	1249.06	1254.92	22356	0	0
2016.04.19	17:00:00	1254.83	1256.66	1251.63	1253.79	14145	0	0
2016.04.19	18:00:00	1253.80	1255.44	1253.25	1254.82	6977	0	0
2016.04.19	19:00:00	1254.83	1255.03	1252.45	1253.38	5036	0	0
2016.04.19	20:00:00	1253.40	1254.10	1251.11	1251.85	3315	0	0
2016.04.19	21:00:00	1251.86	1253.33	1249.21	1252.04	3928	0	0
2016.04.19	22:00:00	1252.00	1252.12	1250.42	1251.12	1681	0	0
2016.04.19	23:00:00	1251.03	1251.10	1249.49	1250.17	1119	0	0
2016.04.20	01:00:00	1249.61	1251.11	1249.26	1250.13	902	0	0
2016.04.20	02:00:00	1250.16	1250.78	1249.39	1249.66	1518	0	0
2016.04.20	03:00:00	1249.75	1251.80	1249.75	1250.56	3881	0	0
2016.04.20	04:00:00	1250.57	1257.98	1250.39	1254.54	8071	0	0
2016.04.20	05:00:00	1254.56	1254.74	1253.12	1254.40	5341	0	0
2016.04.20	06:00:00	1254.41	1255.05	1252.09	1252.17	6060	0	0
2016.04.20	07:00:00	1252.15	1254.78	1248.97	1250.67	3753	0	0
2016.04.20	08:00:00	1250.66	1251.20	1245.88	1246.85	5228	0	0
2016.04.20	09:00:00	1246.89	1249.57	1246.17	1248.53	7609	0	0
2016.04.20	10:00:00	1248.55	1249.34	1246.93	1247.59	8763	0	0
2016.04.20	11:00:00	1247.51	1248.45	1245.54	1248.24	8200	0	0
2016.04.20	12:00:00	1248.25	1250.01	1247.76	1249.41	8215	0	0
2016.04.20	13:00:00	1249.37	1250.00	1247.22	1247.70	6598	0	0
2016.04.20	14:00:00	1247.68	1249.62	1247.06	1248.27	6746	0	0
2016.04.20	15:00:00	1248.29	1252.25	1247.23	1250.73	12455	0	0
2016.04.20	16:00:00	1250.82	1254.71	1249.78	1253.80	17743	0	0
2016.04.20	17:00:00	1253.99	1254.20	1250.18	1253.99	16764	0	0
2016.04.20	18:00:00	1253.98	1256.30	1252.46	1252.94	14384	0	0
2016.04.20	19:00:00	1252.93	1254.92	1251.83	1252.65	11200	0	0
2016.04.20	20:00:00	1252.62	1253.89	1251.10	1252.44	9082	0	0
2016.04.20	21:00:00	1252.44	1253.44	1249.71	1250.78	5809	0	0
2016.04.20	22:00:00	1250.76	1250.88	1242.44	1244.94	10667	0	0
2016.04.20	23:00:00	1244.98	1245.39	1243.25	1244.10	1929	0	0
2016.04.21	01:00:00	1242.93	1245.15	1242.71	1244.34	1333	0	0
2016.04.21	02:00:00	1244.32	1245.68	1243.85	1245.32	1948	0	0
2016.04.21	03:00:00	1245.32	1246.09	1243.42	1244.94	6363	0	0
2016.04.21	04:00:00	1244.94	1248.27	1244.83	1246.30	9131	0	0
2016.04.21	05:00:00	1246.40	1251.28	1246.36	1250.13	6079	0	0
2016.04.21	06:00:00	1250.19	1250.54	1248.07	1248.31	3786	0	0
2016.04.21	07:00:00	1248.40	1248.62	1246.96	1247.53	4088	0	0
2016.04.21	08:00:00	1247.53	1254.81	1247.13	1253.30	7008	0	0
2016.04.21	09:00:00	1253.26	1259.94	1252.50	1258.24	13254	0	0
2016.04.21	10:00:00	1258.40	1260.19	1255.69	1256.48	11325	0	0
2016.04.21	11:00:00	1256.51	1259.48	1255.68	1258.02	9171	0	0
2016.04.21	12:00:00	1258.02	1261.46	1257.39	1259.48	8876	0	0
2016.04.21	13:00:00	1259.53	1260.63	1258.26	1259.11	6904	0	0
2016.04.21	14:00:00	1259.09	1260.04	1257.72	1259.63	7212	0	0
2016.04.21	15:00:00	1259.62	1270.17	1259.50	1268.88	23408	0	0
2016.04.21	16:00:00	1268.98	1270.29	1247.70	1249.16	25948	0	0
2016.04.21	17:00:00	1249.21	1254.34	1246.72	1250.63	19231	0	0
